,gender,hit_answered_date,hit_creation_date,household_income,household_size,location_city,location_country,location_region,marital_status,post_to_completion_secs,worker_id,year_of_birth,Age
0,male,41:04.2,19:12.0,"$75,000-$99,999",4,chennai,IN,tn,single,1312,3340bca2171f7a4ac3370e05c2232fb0,1991,25
1,male,09:05.4,04:16.0,"Less than $10,000",4,ahmedabad,IN,gj,single,289,655406f92faaa995807643afa21031f5,1992,24
2,female,02:17.1,49:16.0,"$75,000-$99,999",3,rockville,US,md,married,781,f966962e3e9dcf072a53d6b9f78a8424,1982,34
3,female,50:32.6,19:14.0,"$25,000-$39,999",1,denver,US,co,single,5478,e33202f229c14c7acb60f6c20cb7d8b6,1976,40
4,male,35:06.1,34:14.0,"$15,000-$24,999",5+,cape town,ZA,wc,single,52,866acb757a2a549898d9c128758bf8b2,1973,43
5,male,20:26.0,19:15.0,"$10,000-$14,999",4,bangalore,IN,ka,single,71,69765c9e7c77d1f78cbb46df85daed20,1995,21
6,male,14:01.9,04:20.0,"$40,000-$59,999",4,?,IN,?,single,581,144f1450270261f7b84ef9903995c177,1991,25
7,male,58:29.2,49:17.0,"$15,000-$24,999",1,gunter,US,tx,single,552,37294195aaa94ad1a7cff6ddd6b079ea,1990,26
8,female,37:19.9,34:15.0,"$75,000-$99,999",3,roanoke,US,va,married,184,4ca46fd21841b111aec48cb2122c08a7,1969,47
9,male,26:07.2,04:28.0,"$40,000-$59,999",4,santiago,CL,rm,single,8499,f247ec0c7d2368d05a4366aa7ecb711b,1994,22
10,male,06:28.2,04:16.0,"$40,000-$59,999",5+,?,TT,?,single,132,62749e0cdfdad9277aab71dfdcef5261,1983,33
11,male,57:14.1,49:15.0,"$40,000-$59,999",4,?,FR,?,married,479,fe85466e53599853a4160ce87bf0a25a,1970,46
12,male,41:40.8,04:19.0,"$15,000-$24,999",1,oviedo,US,fl,single,2241,e57b4fd0ae6e70ebc8bf8f40f3d2d1e6,1988,28
13,female,38:49.7,34:15.0,"$75,000-$99,999",4,columbus grove,US,oh,married,274,7e19b05a9c6b4cf6c320997d46b0027c,1974,42
14,female,24:04.7,19:47.0,"$100,000 or more",4,plymouth,US,in,married,257,dfa64471059d640da1d2e3cb29ea5a6c,1983,33
15,male,55:51.8,49:18.0,"$10,000-$14,999",5+,chennai,IN,tn,married,393,6be97e5f72a4d79b4dc6be8356c40b13,1973,43
16,male,35:19.2,34:20.0,"$100,000 or more",5+,chino,US,ca,cohabitating,59,1cd70dffe0887b1bf2cb58f67e832188,1993,23
17,male,20:06.1,19:15.0,"$100,000 or more",2,new york,US,ny,married,51,2f83a0139eb1ba04c767ed3525e66f09,1987,29
18,male,56:06.6,49:21.0,"Less than $10,000",3,peoria,US,il,single,405,997a4a89db817ef6e71f4fcc2c1d33f5,1995,21
19,female,42:38.4,34:22.0,"$100,000 or more",3,dubai,AE,?,married,496,ea9a515d3ae579ea7f79518891f2e8f8,1982,34
20,female,21:22.8,19:23.0,"$15,000-$24,999",3,newbury,US,nh,married,119,d2b94be053ac60ce27502047924892f0,1965,51
21,female,07:19.9,04:20.0,"$100,000 or more",5+,new york,US,ny,single,179,e40a0230fe55ea459633d76d92a160c8,1983,33
22,male,50:34.2,49:42.0,"$15,000-$24,999",2,staunton,US,va,cohabitating,52,0cdd9eb8ac1d45e9409291b626ee798f,1990,26
23,female,36:27.2,,"$40,000-$59,999",2,westfield,US,ma,married,,94ecb8b915f9c6b5ed89678d78dba6f1,1962,54
24,male,20:38.5,19:17.0,"$25,000-$39,999",5+,san jose,US,ca,married,81,72fe4458f5fd8ebaca11d7f814dc0ee2,1981,35
25,female,07:22.0,04:17.0,"$10,000-$14,999",5+,columbus,US,ga,married,184,33233bf5e4084e155980a9b87eaec1b4,1975,41
26,male,51:04.2,49:17.0,"Less than $10,000",5+,?,IN,?,married,107,0709411ec9905154a8431b635dfeed8b,1973,43
27,female,35:22.1,34:17.0,"$40,000-$59,999",5+,charlotte,US,mi,married,65,6e4645a6296d9b093364779ede682826,1985,31
28,male,21:43.0,19:19.0,"$40,000-$59,999",3,olavarria,AR,b,single,144,e110b6dd619900bd8f383bf83c3e9936,1979,37
29,male,05:50.0,,"$25,000-$39,999",4,wellsboro,US,pa,single,,a39b938fcab97311a3298961d0bd2773,1994,22
30,male,05:46.8,04:15.0,"$25,000-$39,999",4,wellsboro,US,pa,single,91,a39b938fcab97311a3298961d0bd2773,1994,22
31,female,52:21.1,49:15.0,"$40,000-$59,999",4,wheeling,US,il,single,186,f11bb512ab5403de535d7c55e9cb0b81,1992,24
32,female,35:14.1,34:18.0,"Less than $10,000",2,west babylon,US,ny,single,56,bcfc96413c0e05142b357946f9fd13a5,1995,21
33,female,27:10.7,19:15.0,"$40,000-$59,999",3,south san francisco,US,ca,single,475,a328e7613cf71887dbfbe0e7ad2a1375,1994,22
34,male,16:30.0,04:14.0,"$40,000-$59,999",3,paris,FR,j,married,735,ca0febd47397b667d0ef37e4a910f9fa,1986,30
35,male,13:41.6,04:18.0,"Less than $10,000",1,chennai,IN,tn,married,7763,b5e3f00b84350f6b061fa6edba74781e,1989,27
36,male,05:03.1,,"$25,000-$39,999",5+,columbus,US,oh,cohabitating,,b21f112c70fb101f7c19f4e0cb500a22,1982,34
37,male,05:02.8,34:15.0,"$25,000-$39,999",5+,columbus,US,oh,cohabitating,1847,b21f112c70fb101f7c19f4e0cb500a22,1982,34
